"Name","Tier","Family","vCPUs","MemoryGB","MaxDataDisks","NvmeDiskCount","Restrictions"
"Standard_A1_v2","Standard","standardAv2Family","1","2","2",,"None"
"Standard_A2_v2","Standard","standardAv2Family","2","4","4",,"None"
"Standard_A2m_v2","Standard","standardAv2Family","2","16","4",,"None"
"Standard_A4_v2","Standard","standardAv2Family","4","8","8",,"None"
"Standard_A4m_v2","Standard","standardAv2Family","4","32","8",,"None"
"Standard_A8_v2","Standard","standardAv2Family","8","16","16",,"None"
"Standard_A8m_v2","Standard","standardAv2Family","8","64","16",,"None"
"Standard_B16als_v2","Standard","standardBasv2Family","16","32","32",,"None"
"Standard_B16as_v2","Standard","standardBasv2Family","16","64","32",,"None"
"Standard_B2als_v2","Standard","standardBasv2Family","2","4","4",,"None"
"Standard_B2as_v2","Standard","standardBasv2Family","2","8","4",,"None"
"Standard_B2ats_v2","Standard","standardBasv2Family","2","1","4",,"None"
"Standard_B32als_v2","Standard","standardBasv2Family","32","64","32",,"None"
"Standard_B32as_v2","Standard","standardBasv2Family","32","128","32",,"None"
"Standard_B4als_v2","Standard","standardBasv2Family","4","8","8",,"None"
"Standard_B4as_v2","Standard","standardBasv2Family","4","16","8",,"None"
"Standard_B8als_v2","Standard","standardBasv2Family","8","16","16",,"None"
"Standard_B8as_v2","Standard","standardBasv2Family","8","32","16",,"None"
"Standard_B12ms","Standard","standardBSFamily","12","48","16",,"None"
"Standard_B16ms","Standard","standardBSFamily","16","64","32",,"None"
"Standard_B1ls","Standard","standardBSFamily","1","0.5","2",,"None"
"Standard_B1ms","Standard","standardBSFamily","1","2","2",,"None"
"Standard_B1s","Standard","standardBSFamily","1","1","2",,"None"
"Standard_B20ms","Standard","standardBSFamily","20","80","32",,"None"
"Standard_B2ms","Standard","standardBSFamily","2","8","4",,"None"
"Standard_B2s","Standard","standardBSFamily","2","4","4",,"None"
"Standard_B4ms","Standard","standardBSFamily","4","16","8",,"None"
"Standard_B8ms","Standard","standardBSFamily","8","32","16",,"None"
"Standard_B16ls_v2","Standard","standardBsv2Family","16","32","32",,"None"
"Standard_B16s_v2","Standard","standardBsv2Family","16","64","32",,"None"
"Standard_B2ls_v2","Standard","standardBsv2Family","2","4","4",,"None"
"Standard_B2s_v2","Standard","standardBsv2Family","2","8","4",,"None"
"Standard_B2ts_v2","Standard","standardBsv2Family","2","1","4",,"None"
"Standard_B32ls_v2","Standard","standardBsv2Family","32","64","32",,"None"
"Standard_B32s_v2","Standard","standardBsv2Family","32","128","32",,"None"
"Standard_B4ls_v2","Standard","standardBsv2Family","4","8","8",,"None"
"Standard_B4s_v2","Standard","standardBsv2Family","4","16","8",,"None"
"Standard_B8ls_v2","Standard","standardBsv2Family","8","16","16",,"None"
"Standard_B8s_v2","Standard","standardBsv2Family","8","32","16",,"None"
"Standard_D16ads_v5","Standard","standardDADSv5Family","16","64","32",,"None"
"Standard_D2ads_v5","Standard","standardDADSv5Family","2","8","4",,"None"
"Standard_D32ads_v5","Standard","standardDADSv5Family","32","128","32",,"None"
"Standard_D48ads_v5","Standard","standardDADSv5Family","48","192","32",,"None"
"Standard_D4ads_v5","Standard","standardDADSv5Family","4","16","8",,"None"
"Standard_D64ads_v5","Standard","standardDADSv5Family","64","256","32",,"None"
"Standard_D8ads_v5","Standard","standardDADSv5Family","8","32","16",,"None"
"Standard_D96ads_v5","Standard","standardDADSv5Family","96","384","32",,"None"
"Standard_D16ads_v6","Standard","standardDadv6Family","16","64","32",,"None"
"Standard_D2ads_v6","Standard","standardDadv6Family","2","8","4",,"None"
"Standard_D32ads_v6","Standard","standardDadv6Family","32","128","32",,"None"
"Standard_D48ads_v6","Standard","standardDadv6Family","48","192","32",,"None"
"Standard_D4ads_v6","Standard","standardDadv6Family","4","16","8",,"None"
"Standard_D64ads_v6","Standard","standardDadv6Family","64","256","32",,"None"
"Standard_D8ads_v6","Standard","standardDadv6Family","8","32","16",,"None"
"Standard_D96ads_v6","Standard","standardDadv6Family","96","384","32",,"None"
"Standard_D16alds_v6","Standard","standardDaldv6Family","16","32","32",,"None"
"Standard_D2alds_v6","Standard","standardDaldv6Family","2","4","4",,"None"
"Standard_D32alds_v6","Standard","standardDaldv6Family","32","64","32",,"None"
"Standard_D48alds_v6","Standard","standardDaldv6Family","48","96","32",,"None"
"Standard_D4alds_v6","Standard","standardDaldv6Family","4","8","8",,"None"
"Standard_D64alds_v6","Standard","standardDaldv6Family","64","128","32",,"None"
"Standard_D8alds_v6","Standard","standardDaldv6Family","8","16","16",,"None"
"Standard_D96alds_v6","Standard","standardDaldv6Family","96","192","32",,"None"
"Standard_D16als_v6","Standard","standardDalv6Family","16","32","32",,"None"
"Standard_D2als_v6","Standard","standardDalv6Family","2","4","4",,"None"
"Standard_D32als_v6","Standard","standardDalv6Family","32","64","32",,"None"
"Standard_D48als_v6","Standard","standardDalv6Family","48","96","32",,"None"
"Standard_D4als_v6","Standard","standardDalv6Family","4","8","8",,"None"
"Standard_D64als_v6","Standard","standardDalv6Family","64","128","32",,"None"
"Standard_D8als_v6","Standard","standardDalv6Family","8","16","16",,"None"
"Standard_D96als_v6","Standard","standardDalv6Family","96","192","32",,"None"
"Standard_D16as_v4","Standard","standardDASv4Family","16","64","32",,"None"
"Standard_D2as_v4","Standard","standardDASv4Family","2","8","4",,"None"
"Standard_D32as_v4","Standard","standardDASv4Family","32","128","32",,"None"
"Standard_D48as_v4","Standard","standardDASv4Family","48","192","32",,"None"
"Standard_D4as_v4","Standard","standardDASv4Family","4","16","8",,"None"
"Standard_D64as_v4","Standard","standardDASv4Family","64","256","32",,"None"
"Standard_D8as_v4","Standard","standardDASv4Family","8","32","16",,"None"
"Standard_D96as_v4","Standard","standardDASv4Family","96","384","32",,"None"
"Standard_D16as_v5","Standard","standardDASv5Family","16","64","32",,"None"
"Standard_D2as_v5","Standard","standardDASv5Family","2","8","4",,"None"
"Standard_D32as_v5","Standard","standardDASv5Family","32","128","32",,"None"
"Standard_D48as_v5","Standard","standardDASv5Family","48","192","32",,"None"
"Standard_D4as_v5","Standard","standardDASv5Family","4","16","8",,"None"
"Standard_D64as_v5","Standard","standardDASv5Family","64","256","32",,"None"
"Standard_D8as_v5","Standard","standardDASv5Family","8","32","16",,"None"
"Standard_D96as_v5","Standard","standardDASv5Family","96","384","32",,"None"
"Standard_D16a_v4","Standard","standardDAv4Family","16","64","32",,"None"
